Time,BUS1_01_V_ang,BUS1_01_V_mag,BUS1_02_I_ang,BUS1_02_I_mag,BUS2_01_V_ang,BUS2_01_V_mag,BUS2_02_I_ang,BUS2_02_I_mag,BUS3_01_V_ang,BUS3_01_V_mag,BUS3_02_I_ang,BUS3_02_I_mag,BUS4_01_V_ang,BUS4_01_V_mag,BUS4_02_I_ang,BUS4_02_I_mag,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS5_03_I_ang,BUS5_03_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS6_04_I_ang,BUS6_04_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS10_04_I_ang,BUS10_04_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS11_03_I_ang,BUS11_03_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0.333,0.390138865,11919.87988,0.264118195,14208.60449,0.288241148,11699.08008,0.215667725,17245.2832,0,11917.23633,-0.100675106,16107.34375,-0.137752533,11700.34961,-0.150081277,15742.39551,0.834432364,135723.25,0.759467364,1234.544556,0.759465933,1234.518921,0.713431835,133749.4063,0.711016894,1498.392822,-2.3911345302,1234.71582,0.728834868,2732.556885,0.604635954,133303.1406,-2.4143679439,2732.246582,0.497898817,1760.283936,0.623002052,480.8196411,0.623002052,480.8197021,0.393484593,132566.0469,-2.6189464627,477.2488098,-2.6189464627,477.2488708,0.522651673,477.2286377,0.522651673,477.2287292,0.186941147,134854.3281,-2.7197975515,468.3710327,-2.7197975515,468.3710938,-2.7769663332,2765.826416,0.135964394,3638.006104,0.296158552,134497.9531,0.366221905,2766.383057,0.345268011,1367.811157,-2.7548880576,1399.190918,0.433459759,135904.1406,0.394673348,1399.494751,0.394674063,1399.520386,0.604635954,133303.1406,3.63949147058979,1760.283936,0.186941147,134854.3281,3.27755704758979,3638.006104
0.3663,0.390138627,11919.89063,0.264117957,14208.61816,0.28824091,11699.08984,0.215667487,17245.30078,0,11917.24805,-0.100675344,16107.3584,-0.137752652,11700.36035,-0.150081396,15742.41016,0.834432126,135723.3594,0.759467364,1234.545654,0.759465695,1234.52002,0.713431597,133749.5313,0.711016655,1498.394165,-2.3911346789,1234.716919,0.728834629,2732.559326,0.604635716,133303.2656,-2.4143680926,2732.249023,0.497898579,1760.285645,0.623001814,480.8200989,0.623001814,480.8201599,0.393484354,132566.1719,-2.6189466412,477.2492371,-2.6189466412,477.2492981,0.522651434,477.2290955,0.522651434,477.2291565,0.186940909,134854.4531,-2.71979773,468.37146,-2.71979773,468.371521,-2.7769664522,2765.829102,0.135964156,3638.009521,0.296158314,134498.0781,0.366221667,2766.385498,0.345267773,1367.812378,-2.7548882361,1399.192261,0.433459521,135904.25,0.394673348,1399.496094,0.394674063,1399.521729,0.604635716,133303.2656,3.63949123258979,1760.285645,0.186940909,134854.4531,3.27755680958979,3638.009521
0.3996,0.390138626,11919.88086,0.264117956,14208.60742,0.288241148,11699.08105,0.215667487,17245.28711,0,11917.23828,-0.100675106,16107.3457,-0.137752533,11700.35059,-0.150081396,15742.39746,0.834432125,135723.25,0.759467364,1234.544678,0.759465695,1234.519165,0.713431835,133749.4219,0.711016894,1498.393066,-2.3911345896,1234.715942,0.728834868,2732.557129,0.604635716,133303.1719,-2.4143680331,2732.24707,0.497898817,1760.28418,0.623001814,480.8197327,0.623001814,480.8197937,0.393484593,132566.0781,-2.618946552,477.2488708,-2.618946552,477.2489319,0.522651673,477.2287292,0.522651673,477.2287903,0.186941147,134854.3438,-2.7197976109,468.3710938,-2.7197976109,468.3711548,-2.7769663927,2765.826904,0.135964156,3638.006836,0.296158552,134497.9844,0.366221905,2766.383301,0.345268011,1367.811401,-2.754888117,1399.191162,0.433459759,135904.1563,0.394673348,1399.494995,0.394674063,1399.52063,0.604635716,133303.1719,3.63949147058979,1760.28418,0.186941147,134854.3438,3.27755680958979,3638.006836
0.4329,0.390138865,11919.88477,0.264118195,14208.61133,0.288241148,11699.08398,0.215667725,17245.29297,0,11917.24219,-0.100675106,16107.35156,-0.137752533,11700.35547,-0.150081277,15742.40234,0.834432364,135723.2969,0.759467364,1234.545044,0.759465933,1234.519531,0.713431835,133749.4688,0.711016894,1498.393555,-2.3911345003,1234.716309,0.728834868,2732.558105,0.604635954,133303.2031,-2.4143679438,2732.247803,0.497898817,1760.28479,0.623002052,480.8198547,0.623002052,480.8199158,0.393484593,132566.1094,-2.6189464925,477.2490234,-2.6189464925,477.2490845,0.522651673,477.2288818,0.522651673,477.2289429,0.186941147,134854.3906,-2.7197975514,468.3712463,-2.7197975514,468.3713074,-2.7769662736,2765.827637,0.135964394,3638.007813,0.296158552,134498.0156,0.366221905,2766.384277,0.345268011,1367.811768,-2.7548880575,1399.19165,0.433459759,135904.2031,0.394673348,1399.495361,0.394674063,1399.521118,0.604635954,133303.2031,3.63949147058979,1760.28479,0.186941147,134854.3906,3.27755704758979,3638.007813
0.4662,0.390138627,11919.88574,0.264117957,14208.61133,0.28824091,11699.08496,0.215667487,17245.29297,0,11917.24219,-0.100675344,16107.35156,-0.137752652,11700.35449,-0.150081396,15742.40234,0.834432126,135723.2969,0.759467125,1234.545044,0.759465695,1234.519531,0.713431597,133749.4688,0.711016655,1498.393433,-2.3911346788,1234.716309,0.72883463,2732.558105,0.604635716,133303.2031,-2.4143681223,2732.247803,0.497898579,1760.28479,0.623001814,480.8198853,0.623001814,480.8199463,0.393484354,132566.1094,-2.618946671,477.2490234,-2.618946671,477.2490845,0.522651434,477.2288818,0.522651434,477.2289429,0.186940909,134854.3906,-2.71979773,468.3712463,-2.71979773,468.3713074,-2.7769664521,2765.827637,0.135964156,3638.007813,0.296158314,134498.0156,0.366221667,2766.384277,0.345267773,1367.811768,-2.754888236,1399.191528,0.433459521,135904.2031,0.394673348,1399.495483,0.394674063,1399.521118,0.604635716,133303.2031,3.63949123258979,1760.28479,0.186940909,134854.3906,3.27755680958979,3638.007813
0.4995,0.390138626,11919.88086,0.264117957,14208.60645,0.288241148,11699.08203,0.215667487,17245.28711,0,11917.23828,-0.100675106,16107.3457,-0.137752533,11700.35156,-0.150081396,15742.39844,0.834432125,135723.25,0.759467364,1234.544678,0.759465695,1234.519043,0.713431597,133749.4219,0.711016894,1498.393066,-2.3911345896,1234.715942,0.728834868,2732.557129,0.604635716,133303.1719,-2.4143680331,2732.24707,0.497898817,1760.28418,0.623001814,480.8197021,0.623002053,480.8197632,0.393484354,132566.0781,-2.6189465519,477.2488708,-2.6189465519,477.2489319,0.522651673,477.2287292,0.522651673,477.2287903,0.186941147,134854.3438,-2.7197976109,468.3711243,-2.7197976109,468.3711853,-2.7769663926,2765.826904,0.135964156,3638.006836,0.296158314,134497.9844,0.366221905,2766.383301,0.345268011,1367.811401,-2.754888117,1399.191162,0.433459759,135904.1563,0.394673348,1399.494995,0.394674063,1399.52063,0.604635716,133303.1719,3.63949147058979,1760.28418,0.186941147,134854.3438,3.27755680958979,3638.006836
0.5328,0.390138865,11919.88965,0.264118195,14208.61719,0.288241148,11699.09082,0.215667725,17245.30078,0,11917.24805,-0.100675106,16107.3584,-0.137752533,11700.36035,-0.150081277,15742.41016,0.834432364,135723.3594,0.759467364,1234.545654,0.759465933,1234.52002,0.713431835,133749.5313,0.711016894,1498.394165,-2.3911345301,1234.716919,0.728834868,2732.559326,0.604635954,133303.2656,-2.4143679438,2732.249023,0.497898817,1760.285522,0.623002053,480.8200989,0.623002053,480.8201599,0.393484593,132566.1719,-2.6189464924,477.2492371,-2.6189464924,477.2492981,0.522651673,477.2290955,0.522651673,477.2291565,0.186941147,134854.4531,-2.7197975514,468.37146,-2.7197975514,468.371521,-2.7769663332,2765.829102,0.135964394,3638.009521,0.296158552,134498.0781,0.366221905,2766.385498,0.345268011,1367.812378,-2.7548880575,1399.192261,0.433459759,135904.2656,0.394673348,1399.496094,0.394674063,1399.521729,0.604635954,133303.2656,3.63949147058979,1760.285522,0.186941147,134854.4531,3.27755704758979,3638.009521
0.5661,0.390138626,11919.87988,0.264117956,14208.60449,0.288240909,11699.08008,0.215667486,17245.28516,0,11917.23633,-0.100675345,16107.34375,-0.137752653,11700.34961,-0.150081397,15742.39551,0.834432125,135723.25,0.759467124,1234.544434,0.759465694,1234.518921,0.713431596,133749.4063,0.711016893,1498.392822,-2.3911346798,1234.715698,0.728834629,2732.556885,0.604635715,133303.1406,-2.4143681233,2732.246582,0.497898578,1760.283936,0.623001813,480.8196411,0.623001813,480.8197021,0.393484354,132566.0469,-2.618946672,477.2488098,-2.618946672,477.2488708,0.522651433,477.2286377,0.522651433,477.2286987,0.186940908,134854.3281,-2.7197977309,468.3710327,-2.7197977309,468.3710938,-2.7769664531,2765.826416,0.135964155,3638.006104,0.296158313,134497.9688,0.366221666,2766.383057,0.345267772,1367.811157,-2.754888237,1399.190918,0.43345952,135904.125,0.394673347,1399.494751,0.394674062,1399.520386,0.604635715,133303.1406,3.63949123158979,1760.283936,0.186940908,134854.3281,3.27755680858979,3638.006104
0.5994,0.390138626,11919.89355,0.264117957,14208.62109,0.288241148,11699.09375,0.215667487,17245.30469,0,11917.25098,-0.100675106,16107.36328,-0.137752652,11700.36328,-0.150081396,15742.41406,0.834432125,135723.4063,0.759467364,1234.545898,0.759465695,1234.520386,0.713431597,133749.5625,0.711016894,1498.394653,-2.3911346193,1234.717163,0.728834868,2732.560059,0.604635716,133303.2969,-2.414368033,2732.249756,0.497898817,1760.286011,0.623001814,480.8202209,0.623001814,480.820282,0.393484354,132566.2031,-2.6189465519,477.2493591,-2.6189465519,477.2494202,0.522651673,477.2292175,0.522651673,477.2292786,0.186941147,134854.4844,-2.7197976108,468.371582,-2.7197976108,468.3716431,-2.7769663926,2765.829834,0.135964156,3638.010742,0.296158314,134498.125,0.366221905,2766.38623,0.345268011,1367.812744,-2.7548881169,1399.192627,0.433459759,135904.2969,0.394673348,1399.49646,0.394674063,1399.522095,0.604635716,133303.2969,3.63949147058979,1760.286011,0.186941147,134854.4844,3.27755680958979,3638.010742
0.6327,0.390138865,11919.87988,0.264118195,14208.60449,0.288241148,11699.08008,0.215667725,17245.28516,0,11917.2373,-0.100675106,16107.34375,-0.137752533,11700.34961,-0.150081277,15742.39551,0.834432364,135723.2344,0.759467364,1234.544434,0.759465933,1234.518921,0.713431835,133749.4063,0.711016894,1498.392822,-2.39113453,1234.715698,0.728834868,2732.556885,0.604635954,133303.1406,-2.4143679735,2732.246582,0.497898817,1760.283936,0.623002053,480.8196411,0.623002053,480.8197021,0.393484593,132566.0469,-2.6189464924,477.2488098,-2.6189464924,477.2488708,0.522651673,477.2286377,0.522651673,477.2286987,0.186941147,134854.3281,-2.7197975514,468.3710327,-2.7197975514,468.3710938,-2.7769663331,2765.826416,0.135964394,3638.006348,0.296158552,134497.9688,0.366221905,2766.383057,0.345268011,1367.811157,-2.7548880574,1399.190918,0.433459759,135904.1406,0.394673348,1399.494751,0.394674063,1399.520508,0.604635954,133303.1406,3.63949147058979,1760.283936,0.186941147,134854.3281,3.27755704758979,3638.006348
0.666,0.390138626,11919.88965,0.264117956,14208.61719,0.288240909,11699.09082,0.215667486,17245.30078,0,11917.24805,-0.100675345,16107.3584,-0.137752653,11700.36035,-0.150081397,15742.41016,0.834432125,135723.3594,0.759467125,1234.545654,0.759465694,1234.52002,0.713431596,133749.5313,0.711016893,1498.394165,-2.3911347096,1234.716919,0.728834629,2732.559326,0.604635715,133303.2656,-2.4143681233,2732.249023,0.497898578,1760.285522,0.623001813,480.8200684,0.623001813,480.8201294,0.393484354,132566.1719,-2.6189466719,477.2492371,-2.6189466719,477.2492981,0.522651434,477.2290649,0.522651434,477.2291565,0.186940908,134854.4531,-2.7197977309,468.37146,-2.7197977309,468.371521,-2.776966453,2765.829102,0.135964155,3638.009521,0.296158313,134498.0781,0.366221666,2766.385498,0.345267772,1367.812378,-2.754888237,1399.192261,0.43345952,135904.2656,0.394673347,1399.496094,0.394674062,1399.521729,0.604635715,133303.2656,3.63949123158979,1760.285522,0.186940908,134854.4531,3.27755680858979,3638.009521
0.6993,0.390138627,11919.88086,0.264117957,14208.60645,0.288241148,11699.08105,0.215667487,17245.28711,0,11917.23828,-0.100675106,16107.34668,-0.137752533,11700.35059,-0.150081396,15742.39844,0.834432126,135723.25,0.759467364,1234.544678,0.759465695,1234.519043,0.713431597,133749.4219,0.711016894,1498.393066,-2.3911346193,1234.715942,0.728834868,2732.557129,0.604635716,133303.1563,-2.414368033,2732.24707,0.497898818,1760.28418,0.623001814,480.8197021,0.623001814,480.8197937,0.393484354,132566.0625,-2.6189465518,477.2488708,-2.6189465518,477.2489319,0.522651673,477.2286987,0.522651673,477.2287903,0.186941147,134854.3438,-2.7197976108,468.3710938,-2.7197976108,468.3711548,-2.7769663926,2765.826904,0.135964156,3638.006836,0.296158553,134497.9844,0.366221905,2766.383545,0.345268012,1367.811401,-2.7548881765,1399.191162,0.433459759,135904.1563,0.394673348,1399.494995,0.394674063,1399.52063,0.604635716,133303.1563,3.63949147158979,1760.28418,0.186941147,134854.3438,3.27755680958979,3638.006836
0.7326,0.390138865,11919.88477,0.264118195,14208.61035,0.288241148,11699.08496,0.215667725,17245.29297,0,11917.24121,-0.100675106,16107.35156,-0.137752533,11700.35449,-0.150081277,15742.40234,0.834432364,135723.2969,0.759467364,1234.545044,0.759465933,1234.519409,0.713431835,133749.4688,0.711016894,1498.393555,-2.39113453,1234.716309,0.728834868,2732.558105,0.604635954,133303.2031,-2.4143679437,2732.247803,0.497898817,1760.28479,0.623002053,480.8198547,0.623002053,480.8199158,0.393484593,132566.1094,-2.6189464924,477.2489929,-2.6189464924,477.2490845,0.522651673,477.2288513,0.522651673,477.2289124,0.186941147,134854.3906,-2.7197975513,468.3712463,-2.7197975513,468.3713074,-2.7769663331,2765.827637,0.135964394,3638.008057,0.296158552,134498.0156,0.366221905,2766.384277,0.345268011,1367.811768,-2.7548880574,1399.19165,0.433459759,135904.2031,0.394673348,1399.495483,0.394674063,1399.521118,0.604635954,133303.2031,3.63949147058979,1760.28479,0.186941147,134854.3906,3.27755704758979,3638.008057
